Campaign,Date,Spend,Impressions,Clicks,Conversions,UTM_Source,UTM_Medium,UTM_Campaign
TOF_Broad_Prospecting_Prospecting_USA,2023-01-01,245.50,12400,312,8,meta,paid_social,tof_broad_skincare
TOF_Broad_Prospecting_Prospecting_USA,2023-01-15,260.10,13100,298,7,meta,paid_social,tof_broad_skincare
TOF_Broad_Prospecting_Prospecting_USA,2023-02-01,210.45,10800,245,6,meta,paid_social,tof_broad_skincare
TOF_Broad_Prospecting_Prospecting_USA,2023-03-01,315.00,15200,410,11,meta,paid_social,tof_broad_skincare
TOF_Broad_Prospecting_Prospecting_USA,2023-04-01,350.20,16800,442,13,meta,paid_social,tof_broad_skincare
TOF_Broad_Prospecting_Prospecting_USA,2023-05-01,380.00,18200,490,14,meta,paid_social,tof_broad_skincare
TOF_Broad_Prospecting_Prospecting_USA,2023-06-01,410.50,19500,512,15,meta,paid_social,tof_broad_skincare
TOF_Broad_Prospecting_Prospecting_USA,2023-07-01,450.00,21000,580,18,meta,paid_social,tof_broad_skincare
TOF_Broad_Prospecting_Prospecting_USA,2023-08-01,420.00,19800,520,16,meta,paid_social,tof_broad_skincare
TOF_Broad_Prospecting_Prospecting_USA,2023-09-01,405.25,18900,495,15,meta,paid_social,tof_broad_skincare
TOF_Broad_Prospecting_Prospecting_USA,2023-10-01,480.00,22500,610,19,meta,paid_social,tof_broad_skincare
TOF_Broad_Prospecting_Prospecting_USA,2023-11-01,650.00,31000,850,24,meta,paid_social,tof_broad_skincare
TOF_Broad_Prospecting_Prospecting_USA,2023-12-01,720.00,35000,980,28,meta,paid_social,tof_broad_skincare
MOFU_Lookalike_1%_Purchasers,2023-01-01,110.00,4500,180,5,meta,paid_social,mofu_lal_purchasers
MOFU_Lookalike_1%_Purchasers,2023-02-01,115.40,4800,192,6,meta,paid_social,mofu_lal_purchasers
MOFU_Lookalike_1%_Purchasers,2023-03-15,125.00,5100,205,7,meta,paid_social,mofu_lal_purchasers
MOFU_Lookalike_1%_Purchasers,2023-04-10,140.00,5800,230,8,meta,paid_social,mofu_lal_purchasers
MOFU_Lookalike_1%_Purchasers,2023-05-20,155.00,6400,260,9,meta,paid_social,mofu_lal_purchasers
MOFU_Lookalike_1%_Purchasers,2023-06-15,160.00,6600,265,10,meta,paid_social,mofu_lal_purchasers
MOFU_Lookalike_1%_Purchasers,2023-07-20,175.00,7200,290,11,meta,paid_social,mofu_lal_purchasers
MOFU_Lookalike_1%_Purchasers,2023-08-15,170.00,7000,285,10,meta,paid_social,mofu_lal_purchasers
MOFU_Lookalike_1%_Purchasers,2023-09-10,180.00,7400,300,12,meta,paid_social,mofu_lal_purchasers
MOFU_Lookalike_1%_Purchasers,2023-10-25,200.00,8200,330,13,meta,paid_social,mofu_lal_purchasers
MOFU_Lookalike_1%_Purchasers,2023-11-15,350.00,14500,580,22,meta,paid_social,mofu_lal_purchasers
MOFU_Lookalike_1%_Purchasers,2023-12-15,400.00,16800,670,25,meta,paid_social,mofu_lal_purchasers
BOFU_Retargeting_DPA_7D_ATC,2023-01-01,45.00,1200,95,4,meta,paid_social,bofu_retargeting_atc
BOFU_Retargeting_DPA_7D_ATC,2023-02-01,48.00,1300,102,5,meta,paid_social,bofu_retargeting_atc
BOFU_Retargeting_DPA_7D_ATC,2023-03-01,55.00,1500,118,6,meta,paid_social,bofu_retargeting_atc
BOFU_Retargeting_DPA_7D_ATC,2023-04-01,60.00,1650,130,7,meta,paid_social,bofu_retargeting_atc
BOFU_Retargeting_DPA_7D_ATC,2023-05-01,65.00,1800,142,8,meta,paid_social,bofu_retargeting_atc
BOFU_Retargeting_DPA_7D_ATC,2023-06-01,70.00,1950,155,9,meta,paid_social,bofu_retargeting_atc
BOFU_Retargeting_DPA_7D_ATC,2023-07-01,75.00,2100,168,10,meta,paid_social,bofu_retargeting_atc
BOFU_Retargeting_DPA_7D_ATC,2023-08-01,72.00,2000,160,9,meta,paid_social,bofu_retargeting_atc
BOFU_Retargeting_DPA_7D_ATC,2023-09-01,80.00,2250,180,11,meta,paid_social,bofu_retargeting_atc
BOFU_Retargeting_DPA_7D_ATC,2023-10-01,95.00,2600,210,13,meta,paid_social,bofu_retargeting_atc
BOFU_Retargeting_DPA_7D_ATC,2023-11-01,180.00,5100,410,24,meta,paid_social,bofu_retargeting_atc
BOFU_Retargeting_DPA_7D_ATC,2023-12-01,210.00,5900,480,28,meta,paid_social,bofu_retargeting_atc
TOF_Interest_Sustainable_Beauty,2023-01-01,50.00,3100,65,1,meta,paid_social,tof_interest_sustainable
TOF_Interest_Sustainable_Beauty,2023-04-01,65.00,4000,82,2,meta,paid_social,tof_interest_sustainable
TOF_Interest_Sustainable_Beauty,2023-07-01,85.00,5200,105,3,meta,paid_social,tof_interest_sustainable
TOF_Interest_Sustainable_Beauty,2023-10-01,90.00,5500,112,3,meta,paid_social,tof_interest_sustainable
TOF_Interest_Sustainable_Beauty,2023-11-25,200.00,12000,240,6,meta,paid_social,tof_interest_sustainable
Retargeting_Existing_Customers_Upsell,2023-03-01,30.00,800,45,3,meta,paid_social,retargeting_upsell
Retargeting_Existing_Customers_Upsell,2023-06-01,45.00,1200,68,5,meta,paid_social,retargeting_upsell
Retargeting_Existing_Customers_Upsell,2023-09-01,50.00,1350,75,6,meta,paid_social,retargeting_upsell
Retargeting_Existing_Customers_Upsell,2023-12-01,120.00,3200,180,14,meta,paid_social,retargeting_upsell
