date,counterparty,amount,memo
2026-03-01,AWS,1420.50,Monthly Infrastructure Invoice INV-9921
2026-03-02,Google Ads,2500.00,Ad spend - March Campaign A
2026-03-04,Slack Technologies,840.00,Annual Pro Plan Seats 70-80
2026-03-05,Gusto Payroll,42850.12,Net Pay - Period Ending 02/28
2026-03-05,Gusto Tax,12140.88,Federal/State Tax - Period Ending 02/28
2026-03-08,Stripe Payout,18420.15,STRIPE-BATCH-88219-MAR
2026-03-10,WeWork,3200.00,Rent - Suite 400 March
2026-03-12,Zendesk Inc,415.00,Support Tier Subscription
2026-03-14,Shopify,299.00,Advanced Plan Monthly Fee
2026-03-15,Stripe Payout,12100.40,STRIPE-BATCH-88244-MAR
2026-03-17,Adobe Systems,52.99,Creative Cloud Team Subscription
2026-03-18,Uline Corp,1422.30,Shipping Supplies - Boxes and Tape
2026-03-20,Gusto Payroll,43110.55,Net Pay - Period Ending 03/15
2026-03-20,Gusto Tax,12205.10,Federal/State Tax - Period Ending 03/15
2026-03-22,Stripe Payout,9840.00,STRIPE-BATCH-88270-MAR
2026-03-24,Mailchimp,215.00,Marketing Automation Tier 3
2026-03-25,Iron Mountain,185.20,Document Storage/Shredding
2026-03-27,Stripe Payout,15200.60,STRIPE-BATCH-88295-MAR
2026-03-28,FedEx,89.45,Express Shipping - Return #4492
2026-03-30,Mercury Bank,25.00,Wire Transfer Fee - International
2026-03-31,Apple Inc,1299.00,Hardware Refresh - Laptop Serial 9920X
