posted_date,description,amount,balance
2026-03-01,OPENING BALANCE,0.00,14250.50
2026-03-02,TRANSFER FROM CHASE SAVINGS x4922,5000.00,19250.50
2026-03-04,ZENDESK INC INV 992811,-1450.00,17800.50
2026-03-05,STRIPE PAYOUT P00293114,8420.15,26220.65
2026-03-08,AMAZON WEB SERVICES BILL-9932,-3210.45,23010.20
2026-03-10,OFFICE DEPOT #1122,-145.20,22865.00
2026-03-12,STRIPE PAYOUT P00293552,6122.30,28987.30
2026-03-14,GOOGLE CLOUD GSUITE_BIZ,-840.00,28147.30
2026-03-15,ADOBE INC. CREATIVE CLOUD,-52.99,28094.31
2026-03-17,FACEBOOK ADS 29441122,-2500.00,25594.31
2026-03-19,STRIPE PAYOUT P00293991,4210.00,29804.31
2026-03-21,FEDEX SHIPPING 9-112-4421,-215.10,29589.21
2026-03-22,VERIZON WIRELESS PMT,-450.00,29139.21
2026-03-24,APPLE SERVICES MONTHLY,-14.99,29124.22
2026-03-26,STRIPE PAYOUT P00294220,9110.45,38234.67
2026-03-27,WEEBLY INC HOSTING,-25.00,38209.67
2026-03-28,CHASE MERCHANT SERVICES FEE,-112.50,38097.17
2026-03-29,UNKNOWN VENDOR REF 88219,-1200.00,36897.17
2026-03-30,STARBUCKS STORE 04412,-18.45,36878.72
2026-03-31,INTEREST PAYMENT,4.12,36882.84
