date,dau,d7_retention,d30_retention,feature_adoption_vibe_check,feature_adoption_mood_tracker,feature_adoption_social_share,feature_adoption_premium_filters,feature_adoption_daily_streak,feature_adoption_audio_notes,feature_adoption_group_chat,push_ctr
2023-09-22,142500,0.385,0.182,0.22,0.45,0.12,0.08,0.55,0.05,0.09,0.042
2023-09-23,138400,0.382,0.181,0.21,0.44,0.15,0.09,0.54,0.04,0.11,0.038
2023-09-24,145200,0.388,0.183,0.23,0.46,0.18,0.08,0.56,0.06,0.14,0.045
2023-09-25,148600,0.391,0.185,0.25,0.48,0.14,0.07,0.58,0.07,0.12,0.048
2023-09-26,144100,0.389,0.184,0.24,0.47,0.13,0.07,0.57,0.06,0.10,0.043
2023-09-27,143800,0.387,0.182,0.24,0.46,0.12,0.08,0.57,0.05,0.09,0.041
2023-09-28,141200,0.384,0.181,0.23,0.45,0.11,0.08,0.56,0.05,0.08,0.040
2023-09-29,143100,0.386,0.183,0.23,0.46,0.12,0.08,0.56,0.06,0.09,0.042
2023-09-30,139500,0.383,0.182,0.22,0.45,0.16,0.09,0.55,0.05,0.12,0.039
2023-10-01,146800,0.389,0.184,0.24,0.47,0.19,0.08,0.57,0.06,0.15,0.046
2023-10-02,150200,0.392,0.186,0.26,0.49,0.15,0.07,0.59,0.08,0.13,0.049
2023-10-03,145500,0.390,0.185,0.25,0.48,0.14,0.07,0.58,0.07,0.11,0.044
2023-10-04,144900,0.388,0.183,0.25,0.47,0.13,0.08,0.58,0.06,0.10,0.042
2023-10-05,142400,0.385,0.182,0.24,0.46,0.12,0.08,0.57,0.06,0.09,0.041
2023-10-06,144500,0.387,0.184,0.24,0.47,0.13,0.08,0.57,0.07,0.10,0.043
2023-10-07,140800,0.384,0.183,0.23,0.46,0.17,0.09,0.56,0.06,0.13,0.040
2023-10-08,148200,0.390,0.185,0.25,0.48,0.20,0.08,0.58,0.07,0.16,0.047
2023-10-09,151500,0.393,0.187,0.27,0.50,0.16,0.07,0.60,0.09,0.14,0.050
2023-10-10,146900,0.391,0.186,0.26,0.49,0.15,0.07,0.59,0.08,0.12,0.045
2023-10-11,146300,0.389,0.184,0.26,0.48,0.14,0.08,0.59,0.07,0.11,0.043
2023-10-12,143700,0.386,0.183,0.25,0.47,0.13,0.08,0.58,0.07,0.10,0.042
2023-10-13,145800,0.388,0.185,0.25,0.48,0.14,0.08,0.58,0.08,0.11,0.044
2023-10-14,142100,0.385,0.184,0.24,0.47,0.18,0.09,0.57,0.07,0.14,0.041
2023-10-15,149600,0.391,0.186,0.26,0.49,0.21,0.08,0.59,0.08,0.17,0.048
2023-10-16,152900,0.394,0.188,0.28,0.51,0.17,0.07,0.61,0.10,0.15,0.051
2023-10-17,148300,0.392,0.187,0.27,0.50,0.16,0.07,0.60,0.09,0.13,0.046
2023-10-18,147700,0.390,0.185,0.27,0.49,0.15,0.08,0.60,0.08,0.12,0.044
2023-10-19,145100,0.387,0.184,0.26,0.48,0.14,0.08,0.59,0.08,0.11,0.043
