date,channel,impressions,clicks,pdp_views,add_to_cart,initiated_checkout,purchases,ctr,click_to_pdp_rate,pdp_to_atc_rate,atc_to_checkout_rate,checkout_to_purchase_rate
2023-09-01,Meta,450000,6750,945,189,113,85,0.0150,0.1400,0.2000,0.5979,0.7522
2023-09-01,Google,210000,8400,2100,420,252,189,0.0400,0.2500,0.2000,0.6000,0.7500
2023-09-01,TikTok,320000,9600,1152,173,104,78,0.0300,0.1200,0.1501,0.6012,0.7500
2023-09-08,Meta,462000,6930,970,194,116,87,0.0150,0.1400,0.2000,0.5979,0.7500
2023-09-08,Google,215000,8600,2150,430,258,194,0.0400,0.2500,0.2000,0.6000,0.7519
2023-09-08,TikTok,335000,10050,1206,181,109,82,0.0300,0.1200,0.1501,0.6022,0.7523
2023-09-15,Meta,448000,6720,941,188,113,85,0.0150,0.1400,0.1998,0.6011,0.7522
2023-09-15,Google,208000,8320,2080,416,250,187,0.0400,0.2500,0.2000,0.6010,0.7480
2023-09-15,TikTok,310000,9300,1116,167,100,75,0.0300,0.1200,0.1496,0.5988,0.7500
2023-09-22,Meta,455000,6825,956,191,115,86,0.0150,0.1401,0.1998,0.6021,0.7478
2023-09-22,Google,212000,8480,2120,424,254,191,0.0400,0.2500,0.2000,0.5991,0.7520
2023-09-22,TikTok,325000,9750,1170,176,106,79,0.0300,0.1200,0.1504,0.6023,0.7453
2023-10-01,Meta,480000,7200,1008,202,121,91,0.0150,0.1400,0.2004,0.5990,0.7521
2023-10-01,Google,220000,8800,2200,440,264,198,0.0400,0.2500,0.2000,0.6000,0.7500
2023-10-01,TikTok,340000,10200,1224,184,110,83,0.0300,0.1200,0.1503,0.5978,0.7545
2023-10-12,Meta,510000,7650,689,138,83,62,0.0150,0.0901,0.2003,0.6014,0.7470
2023-10-12,Google,225000,9000,2250,450,270,203,0.0400,0.2500,0.2000,0.6000,0.7519
2023-10-12,TikTok,350000,10500,1260,189,113,85,0.0300,0.1200,0.1500,0.5979,0.7522
2023-10-19,Meta,525000,7875,709,142,85,64,0.0150,0.0900,0.2003,0.5986,0.7529
2023-10-19,Google,230000,9200,2300,460,276,207,0.0400,0.2500,0.2000,0.6000,0.7500
2023-10-19,TikTok,355000,10650,1278,192,115,86,0.0300,0.1200,0.1502,0.5990,0.7478
2023-10-26,Meta,540000,8100,729,146,88,66,0.0150,0.0900,0.2003,0.6027,0.7500
2023-10-26,Google,235000,9400,2350,470,282,212,0.0400,0.2500,0.2000,0.6000,0.7518
2023-10-26,TikTok,360000,10800,1296,194,116,87,0.0300,0.1200,0.1497,0.5979,0.7500
2023-10-31,Meta,550000,8250,743,149,89,67,0.0150,0.0901,0.2005,0.5973,0.7528
2023-10-31,Google,240000,9600,2400,480,288,216,0.0400,0.2500,0.2000,0.6000,0.7500
2023-10-31,TikTok,365000,10950,1314,197,118,89,0.0300,0.1200,0.1499,0.5990,0.7542
