customer_id,first_order_date,email_signup_date,acquisition_channel,state
C-1001,2022-01-14,2021-12-28,Paid Search,CO
C-1002,2022-01-15,2022-01-15,Organic Social,CA
C-1003,2022-01-15,2022-01-10,Referral,WA
C-1004,2022-01-16,2022-01-16,Direct,OR
C-1005,2022-01-18,2022-01-18,Paid Social,NY
C-1006,2022-01-19,2022-01-05,Email Marketing,TX
C-1007,2022-01-22,2022-01-22,Paid Search,UT
C-1008,2022-01-24,,Direct,MT
C-1009,2022-01-25,2022-01-20,Affiliate,NC
C-1010,2022-01-28,2022-01-28,Organic Social,VT
C-1011,2022-02-01,2022-01-15,Email Marketing,CO
C-1012,2022-02-03,2022-02-03,Paid Social,CA
C-1013,2022-02-04,,Paid Search,WA
C-1014,2022-02-10,2022-02-08,Direct,ME
C-1015,2022-02-12,2022-02-12,Organic Social,ID
C-1016,2022-02-14,2022-01-30,Referral,MA
C-1017,2022-02-18,2022-02-18,Paid Social,GA
C-1018,2022-02-21,2022-02-21,Direct,CO
C-1019,2022-02-25,,Paid Search,WY
C-1020,2022-03-01,2022-02-28,Organic Social,CA
C-1021,2022-03-05,2022-03-05,Email Marketing,AZ
C-1022,2022-03-08,2022-03-08,Paid Search,NV
C-1023,2022-03-12,2022-03-10,Affiliate,OR
C-1024,2022-03-15,2022-03-15,Direct,MT
C-1025,2022-03-20,2022-03-20,Paid Social,WA
C-1026,2022-03-22,2022-03-22,Organic Search,CO
C-1027,2022-03-25,2022-03-15,Email Marketing,VT
C-1028,2022-04-01,2022-04-01,Paid Search,UT
C-1029,2022-04-04,,Direct,NH
C-1030,2022-04-08,2022-04-08,Referral,NM
C-1031,2022-04-12,2022-04-12,Paid Social,CA
C-1032,2022-04-15,2022-04-15,Organic Social,OR
C-1033,2022-04-18,2022-04-10,Email Marketing,WA
C-1034,2022-04-20,2022-04-20,Direct,CO
C-1035,2022-04-25,2022-04-25,Paid Search,TX
C-1036,2022-05-01,2022-04-20,Affiliate,NY
C-1037,2022-05-04,2022-05-04,Paid Social,FL
C-1038,2022-05-06,2022-05-06,Organic Search,MT
C-1039,2022-05-10,,Direct,ID
C-1040,2022-05-15,2022-05-15,Referral,CA
C-1041,2022-05-18,2022-05-18,Paid Search,WA
C-1042,2022-05-22,2022-05-10,Email Marketing,CO
C-1043,2022-05-25,2022-05-25,Organic Social,OR
C-1044,2022-05-28,2022-05-28,Paid Social,UT
C-1045,2022-06-02,2022-06-02,Direct,VT
C-1046,2022-06-05,2022-05-30,Email Marketing,WY
C-1047,2022-06-08,2022-06-08,Paid Search,NC
C-1048,2022-06-12,,Affiliate,CA
C-1049,2022-06-15,2022-06-15,Organic Search,WA
C-1050,2022-06-20,2022-06-20,Paid Social,CO
C-1051,2022-06-25,2022-06-25,Direct,NY
C-1052,2022-07-01,2022-07-01,Referral,MA
C-1053,2022-07-04,2022-06-20,Email Marketing,TX
C-1054,2022-07-08,2022-07-08,Paid Search,OR
C-1055,2022-07-12,2022-07-12,Organic Social,CA
C-1056,2022-07-15,,Direct,ID
C-1057,2022-07-20,2022-07-20,Paid Social,UT
C-1058,2022-07-25,2022-07-25,Organic Search,CO
C-1059,2022-08-01,2022-07-28,Email Marketing,WA
C-1060,2022-08-05,2022-08-05,Paid Search,AZ
C-1061,2022-08-10,2022-08-10,Affiliate,MT
C-1062,2022-08-15,2022-08-15,Direct,VT
C-1063,2022-08-20,2022-08-18,Referral,CA
C-1064,2022-08-25,2022-08-25,Paid Social,OR
C-1065,2022-09-01,2022-09-01,Organic Social,WA
C-1066,2022-09-05,2022-08-30,Email Marketing,CO
C-1067,2022-09-10,2022-09-10,Paid Search,NY
C-1068,2022-09-15,,Direct,WY
C-1069,2022-09-20,2022-09-20,Organic Search,UT
C-1070,2022-09-25,2022-09-25,Paid Social,ME
C-1071,2022-10-01,2022-10-01,Referral,CA
C-1072,2022-10-05,2022-09-28,Email Marketing,WA
C-1073,2022-10-10,2022-10-10,Paid Search,OR
C-1074,2022-10-15,2022-10-15,Direct,CO
C-1075,2022-10-20,,Affiliate,NC
C-1076,2022-10-25,2022-10-25,Organic Social,ID
C-1077,2022-11-01,2022-11-01,Paid Social,VT
C-1078,2022-11-05,2022-10-30,Email Marketing,MT
C-1079,2022-11-10,2022-11-10,Paid Search,CA
C-1080,2022-11-15,2022-11-15,Direct,WA
C-1081,2022-11-20,2022-11-20,Organic Search,CO
C-1082,2022-11-25,2022-11-25,Referral,NY
C-1083,2022-12-01,2022-11-15,Email Marketing,OR
C-1084,2022-12-05,2022-12-05,Paid Social,TX
C-1085,2022-12-10,2022-12-10,Paid Search,UT
C-1086,2022-12-15,,Direct,AZ
C-1087,2022-12-20,2022-12-20,Organic Social,CA
C-1088,2022-12-25,2022-12-25,Affiliate,WA
C-1089,2023-01-02,2023-01-02,Paid Social,CO
C-1090,2023-01-05,2022-12-28,Email Marketing,ID
C-1091,2023-01-10,2023-01-10,Paid Search,OR
C-1092,2023-01-15,2023-01-15,Direct,VT
C-1093,2023-01-20,2023-01-20,Referral,MT
C-1094,2023-01-25,2023-01-25,Organic Search,WA
C-1095,2023-02-01,2023-01-15,Email Marketing,CA
C-1096,2023-02-05,2023-02-05,Paid Social,CO
C-1097,2023-02-10,,Paid Search,NY
C-1098,2023-02-15,2023-02-15,Direct,UT
C-1099,2023-02-20,2023-02-20,Organic Social,OR
C-1100,2023-02-25,2023-02-25,Affiliate,WA
