Date,Campaign,Spend,Impressions,Clicks,Conversions,UTM_Source,UTM_Medium,UTM_Campaign
2023-05-01,Everbloom_Brand_Search,42.15,850,112,14,google,cpc,brand_search
2023-05-01,Everbloom_Skincare_Shopping,88.40,4200,95,3,google,cpc,shopping_general
2023-06-01,Everbloom_Brand_Search,45.20,910,125,16,google,cpc,brand_search
2023-06-01,Everbloom_Skincare_Shopping,92.10,4800,110,4,google,cpc,shopping_general
2023-07-01,Everbloom_Brand_Search,51.00,1050,140,18,google,cpc,brand_search
2023-07-01,Everbloom_Skincare_Shopping,105.50,5100,122,5,google,cpc,shopping_general
2023-08-01,Everbloom_Brand_Search,48.30,980,132,15,google,cpc,brand_search
2023-08-01,Everbloom_Skincare_Shopping,112.00,5500,135,4,google,cpc,shopping_general
2023-09-01,Everbloom_Brand_Search,55.40,1120,155,20,google,cpc,brand_search
2023-09-01,Everbloom_Skincare_Shopping,125.75,6100,148,6,google,cpc,shopping_general
2023-10-01,Everbloom_Brand_Search,60.10,1200,168,22,google,cpc,brand_search
2023-10-01,Everbloom_Skincare_Shopping,140.20,6800,170,7,google,cpc,shopping_general
2023-11-01,Everbloom_Brand_Search,95.50,2100,290,38,google,cpc,brand_search
2023-11-01,Everbloom_Skincare_Shopping,210.00,9500,240,12,google,cpc,shopping_general
2023-11-01,BFCM_Search_Promo,150.00,3500,410,25,google,cpc,bfcm_2023
2023-12-01,Everbloom_Brand_Search,88.20,1950,265,34,google,cpc,brand_search
2023-12-01,Everbloom_Skincare_Shopping,185.40,8200,210,10,google,cpc,shopping_general
2023-12-01,Holiday_Gifting_PMax,250.00,12000,380,18,google,cpc,holiday_pmax
2024-01-01,Everbloom_Brand_Search,58.00,1180,158,21,google,cpc,brand_search
2024-01-01,Everbloom_Skincare_Shopping,135.00,6400,162,6,google,cpc,shopping_general
2024-02-01,Everbloom_Brand_Search,54.20,1100,145,19,google,cpc,brand_search
2024-02-01,Everbloom_Skincare_Shopping,128.50,6200,155,5,google,cpc,shopping_general
2024-03-01,Everbloom_Brand_Search,62.80,1250,175,23,google,cpc,brand_search
2024-03-01,Everbloom_Skincare_Shopping,145.00,7100,185,8,google,cpc,shopping_general
2024-04-01,Everbloom_Brand_Search,65.00,1300,182,24,google,cpc,brand_search
2024-04-01,Everbloom_Skincare_Shopping,152.30,7500,198,9,google,cpc,shopping_general
