Cohort_Month,Acquisition_Channel,Cohort_Size,Mean_AOV,D30_Retention_Rate,D60_Retention_Rate,D90_Retention_Rate,LTV_90D
2023-10,Meta,2450,68.45,0.28,0.19,0.14,92.50
2023-10,Google,1820,72.10,0.32,0.22,0.18,104.20
2023-10,TikTok,1100,54.20,0.21,0.12,0.09,68.15
2023-10,Affiliates,850,75.30,0.35,0.28,0.24,118.40
2023-11,Meta,2610,69.12,0.27,0.18,0.13,91.80
2023-11,Google,1950,71.85,0.31,0.21,0.17,102.60
2023-11,TikTok,1420,55.40,0.22,0.13,0.10,70.10
2023-11,Affiliates,920,74.90,0.34,0.27,0.22,115.30
2023-12,Meta,3100,67.80,0.26,0.17,0.12,89.50
2023-12,Google,2100,73.40,0.33,0.23,0.19,106.80
2023-12,TikTok,1650,53.90,0.20,0.11,0.08,66.40
2023-12,Affiliates,1100,76.10,0.36,0.29,0.25,121.20
2024-01,Meta,2850,65.20,0.24,0.15,0.11,82.40
2024-01,Google,2050,72.50,0.31,0.22,0.18,103.10
2024-01,TikTok,1580,54.10,0.21,0.12,0.09,68.50
2024-01,Affiliates,1050,75.80,0.35,0.28,0.24,119.00
2024-02,Meta,2150,62.15,0.22,0.14,0.10,78.20
2024-02,Google,1980,72.80,0.32,0.22,0.18,104.50
2024-02,TikTok,1720,53.50,0.19,0.11,0.08,65.90
2024-02,Affiliates,1150,76.50,0.36,0.29,0.25,122.10
