id,company_name,domain,industry,country,phone,email,created_at
1,Acme Corp,acme.com,Software,USA,+1-555-0101,contact@acme.com,2022-01-15 09:12:00
2,Globex Corporation,globex.co,Manufacturing,USA,+1-555-0202,info@globex.co,2022-01-15 10:45:00
3,Soylent Corp,soylent.com,Consumer Goods,USA,+1-555-0303,sales@soylent.com,2022-01-16 14:20:00
4,Initech,initech.io,Software,USA,+1-555-0404,admin@initech.io,2022-01-18 11:05:00
5,Umbrella Corp,umbrella-corp.com,Biotechnology,UK,+44-20-7946-0111,hr@umbrella-corp.com,2022-01-20 08:30:00
6,Hooli,hooli.com,Internet Services,USA,+1-555-0505,support@hooli.com,2022-01-22 16:45:00
7,Veidt Enterprises,veidt.com,Energy,USA,+1-555-0606,press@veidt.com,2022-01-25 13:12:00
8,Massive Dynamic,massivedynamic.com,Technology,USA,+1-555-0707,hq@massivedynamic.com,2022-02-01 09:00:00
9,Oceanic Airlines,oceanic-air.com,Transportation,Australia,+61-2-5550-0123,booking@oceanic-air.com,2022-02-03 15:22:00
10,Cyberdyne Systems,cyberdyne.jp,Robotics,Japan,+81-3-5555-0199,dev@cyberdyne.jp,2022-02-05 10:10:00
11,Stark Industries,starkindustries.com,Defense,USA,+1-555-0808,tony@starkindustries.com,2022-02-10 11:30:00
12,Wayne Enterprises,wayneent.com,Conglomerate,USA,+1-555-0909,bruce@wayneent.com,2022-02-12 17:40:00
13,Oscorp,oscorp.com,Biotechnology,USA,+1-555-1010,norman@oscorp.com,2022-02-14 08:15:00
14,LexCorp,lexcorp.com,Technology,USA,+1-555-1111,lex@lexcorp.com,2022-02-15 09:45:00
15,Tyrell Corp,tyrell.com,Robotics,USA,+1-555-1212,eldon@tyrell.com,2022-02-18 14:00:00
16,Weyland-Yutani,weyland-yutani.com,Aerospace,USA,+1-555-1313,info@weyland-yutani.com,2022-02-20 12:00:00
17,Aperture Science,aperture.com,Research,USA,+1-555-1414,cave@aperture.com,2022-02-22 10:30:00
18,Black Mesa,blackmesa.org,Research,USA,+1-555-1515,gman@blackmesa.org,2022-02-25 11:00:00
19,Sterling Cooper,sterling-cooper.com,Marketing,USA,+1-555-1616,don@sterling-cooper.com,2022-03-01 09:15:00
20,Vandelay Industries,vandelay.com,Logistics,USA,+1-555-1717,art@vandelay.com,2022-03-03 16:45:00
21,Dunder Mifflin,dundermifflin.com,Paper,USA,+1-555-1818,michael@dundermifflin.com,2022-03-05 08:30:00
22,Pied Piper,piedpiper.com,Software,USA,+1-555-1919,richard@piedpiper.com,2022-03-07 14:20:00
23,E Corp,e-corp.com,Finance,USA,+1-555-2020,tyrell@e-corp.com,2022-03-10 10:00:00
24,Gekko & Co,gekkoco.com,Finance,USA,+1-555-2121,gordon@gekkoco.com,2022-03-12 11:45:00
25,Bluth Company,bluthco.com,Real Estate,USA,+1-555-2222,michael@bluthco.com,2022-03-15 13:10:00
26,Wonka Industries,wonka.com,Food & Beverage,UK,+44-20-7946-0222,willy@wonka.com,2022-03-18 09:00:00
27,Nakatomi Trading,nakatomi.jp,Finance,Japan,+81-3-5555-0288,joe@nakatomi.jp,2022-03-20 15:30:00
28,Strickland Propane,strickland.com,Energy,USA,+1-555-2323,hank@strickland.com,2022-03-22 12:15:00
29,Prestige Worldwide,prestige.com,Entertainment,USA,+1-555-2424,dale@prestige.com,2022-03-25 16:00:00
30,Veridian Dynamics,veridian.com,Technology,USA,+1-555-2525,ted@veridian.com,2022-03-28 10:45:00
31,MomCorp,momcorp.com,Robotics,USA,+1-555-2626,mom@momcorp.com,2022-04-01 08:00:00
32,Farnsworth-MGM,planetexpress.com,Logistics,USA,+1-555-2727,hubert@planetexpress.com,2022-04-03 14:30:00
33,Sutherland-Shackleton,shackleton.ca,Logistics,Canada,+1-416-555-0101,info@shackleton.ca,2022-04-05 11:20:00
34,Kohlmayer GmbH,kohlmayer.de,Manufacturing,Germany,+49-30-555-0123,kontakt@kohlmayer.de,2022-04-07 09:45:00
35,Yamato Tech,yamato.co.jp,Technology,Japan,+81-3-5555-0311,sales@yamato.co.jp,2022-04-10 13:00:00
36,Zorg Industries,zorg.com,Defense,France,+33-1-55-55-01-01,jean@zorg.com,2022-04-12 10:15:00
37,Rekall Inc,rekall.com,Entertainment,USA,+1-555-2828,dreams@rekall.com,2022-04-15 16:40:00
38,Omni Consumer Products,ocp.com,Public Services,USA,+1-555-2929,dick@ocp.com,2022-04-18 08:50:00
39,Yoyodyne Propulsion,yoyodyne.com,Aerospace,USA,+1-555-3030,john@yoyodyne.com,2022-04-20 11:10:00
40,Brawndo,brawndo.com,Consumer Goods,USA,+1-555-3131,electrolytes@brawndo.com,2022-04-22 14:55:00
41,Paper Street Soap Co,paperstreet.com,Consumer Goods,USA,+1-555-3232,tyler@paperstreet.com,2022-04-25 12:00:00
42,Virtucon,virtucon.com,Conglomerate,USA,+1-555-3333,scott@virtucon.com,2022-04-28 09:30:00
43,Blue Sun Corp,bluesun.com,Consumer Goods,USA,+1-555-3434,agent@bluesun.com,2022-05-01 15:20:00
44,Monarch Solutions,monarch.com,Technology,USA,+1-555-3535,paul@monarch.com,2022-05-03 10:05:00
45,Abstergo Industries,abstergo.com,Biotechnology,Italy,+39-06-555-0123,warren@abstergo.com,2022-05-05 13:40:00
46,Devon Corp,devon.jp,Technology,Japan,+81-3-5555-0422,president@devon.jp,2022-05-07 11:15:00
47,Silph Co,silph.jp,Technology,Japan,+81-3-5555-0533,ceo@silph.jp,2022-05-10 09:50:00
48,AIGIS,aigis.jp,Defense,Japan,+81-3-5555-0644,unit7@aigis.jp,2022-05-12 16:30:00
49,Shinra Electric,shinra.com,Energy,Japan,+81-3-5555-0755,rufus@shinra.com,2022-05-15 08:20:00
50,Fontaine Futuristics,fontaine.com,Biotechnology,USA,+1-555-3636,frank@fontaine.com,2022-05-18 14:10:00
