Cohort,Channel,CAC,30d_LTV,60d_LTV,90d_LTV
2023-05,Meta,32.40,48.50,52.10,58.40
2023-05,Google,38.15,42.00,44.50,48.20
2023-06,Meta,34.10,46.20,51.80,55.90
2023-06,Google,39.50,41.20,43.80,47.10
2023-07,Meta,36.80,44.10,49.50,53.20
2023-07,Google,41.20,40.80,42.50,45.90
2023-08,Meta,35.20,47.90,53.40,59.10
2023-08,Google,37.60,43.10,46.20,50.40
2023-09,Meta,38.45,45.30,50.10,54.80
2023-09,Google,42.10,41.50,44.20,48.60
2023-10,Meta,41.30,42.80,47.20,51.50
2023-10,Google,45.60,39.90,42.10,44.80
2023-11,Meta,48.20,52.40,58.90,64.20
2023-11,Google,51.40,48.20,52.50,57.10
2023-12,Meta,54.10,56.80,62.40,68.90
2023-12,Google,58.30,50.10,54.30,59.80
2024-01,Meta,39.20,46.50,51.20,55.40
2024-01,Google,42.80,41.20,45.60,49.20
2024-02,Meta,40.50,45.90,50.80,54.10
2024-02,Google,43.10,40.50,44.20,47.80
2024-03,Meta,42.80,44.20,48.50,52.90
2024-03,Google,44.50,39.80,43.10,46.50
2024-04,Meta,44.10,43.50,47.20,51.20
2024-04,Google,46.20,38.90,41.50,44.90
