date,transaction_id,description,debit,credit,balance,status
2023-01-02,TXN-99201,TRANSFER FROM OPERATING-442,,15000.00,15000.00,POSTED
2023-01-05,TXN-99202,OFFICE DEPOT #441,142.55,,14857.45,POSTED
2023-01-12,TXN-99203,ADOBE *CREATIVE CLOUD,52.99,,14804.46,POSTED
2023-01-15,TXN-99204,W-S LANDLORD RENT,4200.00,,10604.46,POSTED
2023-01-20,TXN-99205,HOME DEPOT #0612,892.11,,9712.35,POSTED
2023-01-20,TXN-99206,HOME DEPOT #0612,450.00,,9262.35,POSTED
2023-01-28,TXN-99207,CON EDISON UTILITY,312.44,,8949.91,POSTED
2023-02-01,TXN-99208,TRANSFER FROM OPERATING-442,,12000.00,20949.91,POSTED
2023-02-14,TXN-99209,APPLE STORE R112,1299.00,,19650.91,POSTED
2023-02-15,TXN-99210,W-S LANDLORD RENT,4200.00,,15450.91,POSTED
2023-02-28,TXN-99211,VERIZON WIRELESS,211.80,,15239.11,POSTED
2023-03-05,TXN-99212,LUMBER LIQUIDATORS,3400.00,,11839.11,POSTED
2023-03-15,TXN-99213,W-S LANDLORD RENT,4200.00,,7639.11,POSTED
2023-03-22,TXN-99214,CASH WITHDRAWAL - ATM,,500.00,7139.11,POSTED
2023-04-01,TXN-99215,TRANSFER FROM OPERATING-442,,18500.00,25639.11,POSTED
2023-04-10,TXN-99216,BLUE SHIELD INS,1840.00,,23799.11,POSTED
2023-04-15,TXN-99217,W-S LANDLORD RENT,4200.00,,19599.11,POSTED
2023-04-18,TXN-99218,RUTH'S STEAK HOUSE,450.00,,19149.11,POSTED
2023-05-02,TXN-99219,FEDEX SHIPPING,42.10,,19107.01,POSTED
2023-05-15,TXN-99220,W-S LANDLORD RENT,4200.00,,14907.01,POSTED
2023-06-01,TXN-99221,TRANSFER FROM OPERATING-442,,10000.00,24907.01,POSTED
2023-06-12,TXN-99222,AMAZON MARKETPLACE,88.40,,24818.61,POSTED
2023-06-15,TXN-99223,W-S LANDLORD RENT,4200.00,,20618.61,POSTED
2023-06-30,TXN-99224,QUICKBOOKS INTUIT,85.00,,20533.61,POSTED
2023-07-05,TXN-99225,STAPLES DIRECT,215.12,,20318.49,POSTED
2023-07-15,TXN-99226,W-S LANDLORD RENT,4200.00,,16118.49,POSTED
2023-08-01,TXN-99227,TRANSFER FROM OPERATING-442,,15000.00,31118.49,POSTED
2023-08-15,TXN-99228,W-S LANDLORD RENT,4200.00,,26918.49,POSTED
2023-08-20,TXN-99229,HOME DEPOT #0612,1240.55,,25677.94,POSTED
2023-09-15,TXN-99230,W-S LANDLORD RENT,4200.00,,21477.94,POSTED
2023-09-22,TXN-99231,DELTA AIRLINES,652.20,,20825.74,POSTED
2023-10-01,TXN-99232,TRANSFER FROM OPERATING-442,,12000.00,32825.74,POSTED
2023-10-15,TXN-99233,W-S LANDLORD RENT,4200.00,,28625.74,POSTED
2023-11-05,TXN-99234,STARBUCKS CORP,12.45,,28613.29,POSTED
2023-11-15,TXN-99235,W-S LANDLORD RENT,4200.00,,24413.29,POSTED
2023-11-20,TXN-99236,LOWES #01124,1102.30,,23310.99,POSTED
2023-12-15,TXN-99237,W-S LANDLORD RENT,4200.00,,19110.99,POSTED
2023-12-20,TXN-99238,BEST BUY MHTN,2400.00,,16710.99,POSTED
2023-12-31,TXN-99239,ANNUAL INTEREST,,12.44,16723.43,POSTED
2024-01-02,TXN-99240,TRANSFER FROM OPERATING-442,,20000.00,36723.43,POSTED
2024-01-15,TXN-99241,W-S LANDLORD RENT,4400.00,,32323.43,POSTED
2024-02-05,TXN-99242,OFFICE DEPOT #441,89.10,,32234.33,POSTED
2024-02-15,TXN-99243,W-S LANDLORD RENT,4400.00,,27834.33,POSTED
2024-03-10,TXN-99244,CASH WITHDRAWAL - ATM,1000.00,,26834.33,POSTED
2024-03-15,TXN-99245,W-S LANDLORD RENT,4400.00,,22434.33,POSTED
2024-04-01,TXN-99246,TRANSFER FROM OPERATING-442,,15000.00,37434.33,POSTED
2024-04-15,TXN-99247,W-S LANDLORD RENT,4400.00,,33034.33,POSTED
2024-04-20,TXN-99248,DELTA AIRLINES,841.00,,32193.33,POSTED
2024-05-05,TXN-99249,ADOBE *CREATIVE CLOUD,52.99,,32140.34,POSTED
2024-05-15,TXN-99250,W-S LANDLORD RENT,4400.00,,27740.34,POSTED
2024-05-22,TXN-99251,SHERWIN WILLIAMS,612.44,,27127.90,POSTED
2024-06-01,TXN-99252,TRANSFER FROM OPERATING-442,,12000.00,39127.90,POSTED
2024-06-15,TXN-99253,W-S LANDLORD RENT,4400.00,,34727.90,POSTED
2024-06-25,TXN-99254,HOME DEPOT #0612,320.15,,34407.75,POSTED
2024-06-30,TXN-99255,QUICKBOOKS INTUIT,95.00,,34312.75,POSTED
