channel,month,spend,attributed_signups
Meta Ads,2022-01,4200,1050
Google Search,2022-01,3100,620
Instagram Influencers,2022-01,1500,375
Email Marketing,2022-01,450,900
Meta Ads,2022-02,4500,1125
Google Search,2022-02,3300,660
Instagram Influencers,2022-02,1800,450
Email Marketing,2022-02,450,940
Meta Ads,2022-03,5200,1300
Google Search,2022-03,3800,760
Instagram Influencers,2022-03,2200,550
Email Marketing,2022-03,500,1020
Meta Ads,2022-04,4800,1200
Google Search,2022-04,3500,700
Instagram Influencers,2022-04,2000,500
Email Marketing,2022-04,500,980
Meta Ads,2022-05,5500,1375
Google Search,2022-05,4000,800
Instagram Influencers,2022-05,2500,625
Email Marketing,2022-05,550,1150
Meta Ads,2022-06,6000,1500
Google Search,2022-06,4200,840
Instagram Influencers,2022-06,3000,750
Email Marketing,2022-06,600,1240
Meta Ads,2022-07,5800,1450
Google Search,2022-07,4100,820
Instagram Influencers,2022-07,2800,700
Email Marketing,2022-07,600,1210
Meta Ads,2022-08,5400,1350
Google Search,2022-08,3900,780
Instagram Influencers,2022-08,2400,600
Email Marketing,2022-08,550,1080
Meta Ads,2022-09,6200,1550
Google Search,2022-09,4500,900
Instagram Influencers,2022-09,3200,800
Email Marketing,2022-09,650,1350
Meta Ads,2022-10,7000,1750
Google Search,2022-10,5000,1000
Instagram Influencers,2022-10,3500,875
Email Marketing,2022-10,700,1480
Meta Ads,2022-11,7500,1875
Google Search,2022-11,5500,1100
Instagram Influencers,2022-11,4000,1000
Email Marketing,2022-11,750,1550
Meta Ads,2022-12,8000,2000
Google Search,2022-12,6000,1200
Instagram Influencers,2022-12,4500,1125
Email Marketing,2022-12,800,1700
Meta Ads,2023-01,6500,1625
Google Search,2023-01,4800,960
Instagram Influencers,2023-01,3000,750
Email Marketing,2023-01,700,1450
Meta Ads,2023-02,6800,1700
Google Search,2023-02,5000,1000
Instagram Influencers,2023-02,3200,800
Email Marketing,2023-02,700,1490
Meta Ads,2023-03,7500,1875
Google Search,2023-03,5500,1100
Instagram Influencers,2023-03,3800,950
Email Marketing,2023-03,750,1580
Meta Ads,2023-04,7200,1800
Google Search,2023-04,5200,1040
Instagram Influencers,2023-04,3500,875
Email Marketing,2023-04,750,1520
Meta Ads,2023-05,8000,2000
Google Search,2023-05,5800,1160
Instagram Influencers,2023-05,4200,1050
Email Marketing,2023-05,850,1750
Meta Ads,2023-06,8500,2125
Google Search,2023-06,6200,1240
Instagram Influencers,2023-06,4800,1200
Email Marketing,2023-06,900,1880
Meta Ads,2023-07,8200,2050
Google Search,2023-07,6000,1200
Instagram Influencers,2023-07,4500,1125
Email Marketing,2023-07,900,1820
Meta Ads,2023-08,7800,1950
Google Search,2023-08,5600,1120
Instagram Influencers,2023-08,4000,1000
Email Marketing,2023-08,850,1740
Meta Ads,2023-09,8800,2200
Google Search,2023-09,6500,1300
Instagram Influencers,2023-09,5000,1250
Email Marketing,2023-09,950,1980
Meta Ads,2023-10,9500,2375
Google Search,2023-10,7000,1400
Instagram Influencers,2023-10,5500,1375
Email Marketing,2023-10,1000,2100
Meta Ads,2023-11,10500,2625
Google Search,2023-11,8000,1600
Instagram Influencers,2023-11,6500,1625
Email Marketing,2023-11,1100,2300
Meta Ads,2023-12,12000,3000
Google Search,2023-12,9000,1800
Instagram Influencers,2023-12,8000,2000
Email Marketing,2023-12,1200,2500
