organization_id,company_name,hq_location,employee_count,engineering_count,last_funding_round,last_funding_date,tech_stack_microservices,industry,domain
ORG-0001,VelocePay,San Francisco, CA,450,180,Series C,2023-11-12,true,FinTech,velocepay.io
ORG-0002,CloudScale AI,Berlin, DE,120,65,Series B,2024-02-15,true,Infrastructure,cloudscale.ai
ORG-0003,HealthSync,Boston, MA,310,110,Series D,2023-08-20,true,HealthTech,healthsync.com
ORG-0004,DataGrip Systems,Austin, TX,85,42,Series B,2024-05-01,true,Data Analytics,datagrip.io
ORG-0005,LogiFlow,London, UK,280,135,Series C,2023-12-05,true,Logistics,logiflow.co
ORG-0006,SecureNet,San Jose, CA,550,220,Series E,2023-06-10,true,Cybersecurity,securenet.com
ORG-0007,EcoGrid,Denver, CO,145,55,Series B,2024-01-22,true,Energy,ecogrid.com
ORG-0008,StreamLine,New York, NY,420,190,Series C,2023-09-30,true,Media,streamline.tv
ORG-0009,DevPulse,Paris, FR,95,48,Series B,2024-04-12,true,DevTools,devpulse.io
ORG-0010,FinVantage,Chicago, IL,380,140,Series D,2023-10-18,true,FinTech,finvantage.com
ORG-0011,AutoDrive AI,Seattle, WA,210,125,Series C,2023-11-28,true,Automotive,autodrive.ai
ORG-0012,BioGraph,Munich, DE,160,70,Series B,2024-03-05,true,Biotech,biograph.de
ORG-0013,RetailBot,Atlanta, GA,290,95,Series C,2023-07-14,true,E-commerce,retailbot.com
ORG-0014,QuantEdge,London, UK,110,60,Series B,2024-02-20,true,FinTech,quantedge.co.uk
ORG-0015,SkyNode,San Francisco, CA,480,210,Series D,2023-05-25,true,Aerospace,skynode.com
ORG-0016,TalentSphere,New York, NY,230,85,Series C,2023-12-15,true,HRTech,talentsphere.io
ORG-0017,CoreLogic SaaS,Dublin, IE,190,90,Series B,2024-01-10,true,SaaS,corelogic.ie
ORG-0018,NexusPay,Singapore, SG,340,150,Series C,2023-08-04,false,FinTech,nexuspay.com
ORG-0019,GreenWave,Portland, OR,75,30,Series A,2024-05-10,true,Sustainablity,greenwave.io
ORG-0020,RoboOps,Salt Lake City, UT,215,115,Series B,2023-11-02,true,Robotics,roboops.com
ORG-0021,MetaLayer,Toronto, CA,185,95,Series B,2024-03-18,true,Blockchain,metalayer.ca
ORG-0022,Insuria,Zurich, CH,440,165,Series D,2023-09-12,true,InsurTech,insuria.ch
ORG-0023,QuickCart,Dallas, TX,520,180,Series E,2022-12-01,true,Retail,quickcart.com
ORG-0024,SignalFlow,San Mateo, CA,130,75,Series B,2024-02-28,true,DevOps,signalflow.io
ORG-0025,BrightMind,Stockholm, SE,260,105,Series C,2023-10-25,true,EdTech,brightmind.se
ORG-0026,DeepTrace,Pittsburgh, PA,90,55,Series B,2024-04-05,true,Security,deeptrace.ai
ORG-0027,OmniChannel,Los Angeles, CA,370,145,Series C,2023-11-15,true,Marketing,omnichannel.com
ORG-0028,VertexLabs,Austin, TX,155,80,Series B,2024-01-30,true,Web3,vertexlabs.io
ORG-0029,PureWater,Amsterdam, NL,125,45,Series B,2023-06-20,false,CleanTech,purewater.nl
ORG-0030,CloudNexus,San Francisco, CA,510,240,Series D,2023-08-15,true,Cloud,cloudnexus.io
ORG-0031,SwiftShip,Memphis, TN,300,110,Series C,2023-12-20,true,Logistics,swiftship.com
ORG-0032,AgriTech AI,Des Moines, IA,115,50,Series B,2024-03-22,true,AgTech,agritech.ai
ORG-0033,CyberVault,Washington, DC,460,195,Series D,2023-07-08,true,GovTech,cybervault.com
ORG-0034,HyperLoop IT,Bristol, UK,80,40,Series A,2024-05-15,true,Transportation,hyperloop.it
ORG-0035,GenomicsPro,San Diego, CA,340,160,Series C,2023-11-05,true,LifeSciences,genomicspro.com
ORG-0036,PayPoint,Madrid, ES,275,120,Series C,2023-09-22,true,FinTech,paypoint.es
ORG-0037,SecureStack,Tel Aviv, IL,195,110,Series B,2024-02-10,true,Cybersecurity,securestack.io
ORG-0038,SmartWare,Phoenix, AZ,420,150,Series D,2023-10-01,true,IoT,smartware.com
ORG-0039,DraftFlow,New York, NY,140,75,Series B,2024-04-18,true,LegalTech,draftflow.io
ORG-0040,BlueSky Cloud,Vancouver, CA,310,130,Series C,2023-12-10,true,SaaS,bluesky.ca
ORG-0041,TitanGraph,Boulder, CO,105,65,Series B,2024-01-15,true,Database,titangraph.io
ORG-0042,PeakPerformance,Denver, CO,225,95,Series B,2023-11-19,true,HRTech,peakperf.com
ORG-0043,SolarisData,Barcelona, ES,180,85,Series B,2024-03-30,true,Energy,solaris.io
ORG-0044,VeloxSystems,Cambridge, MA,390,175,Series D,2023-08-28,true,Robotics,velox.com
ORG-0045,MarketMind,London, UK,450,160,Series C,2023-06-15,true,AdTech,marketmind.co
ORG-0046,CodeStream,San Francisco, CA,135,70,Series B,2024-02-05,true,DevTools,codestream.io
ORG-0047,HealthGrid,Nashville, TN,295,115,Series C,2023-12-02,true,HealthTech,healthgrid.com
ORG-0048,ZettaStorage,Salt Lake City, UT,170,90,Series B,2024-04-25,true,Storage,zetta.io
ORG-0049,UrbanFlow,Copenhagen, DK,145,60,Series B,2024-01-05,true,SmartCity,urbanflow.dk
ORG-0050,FinCore,New York, NY,480,205,Series D,2023-10-12,true,FinTech,fincore.com
ORG-0051,AppArmor,Austin, TX,210,105,Series B,2023-11-25,true,Security,apparmor.io
