Rank,Name,Email_Domain,Relationship
1,Marc Andreessen,a16z.com,Lead Investor
2,Sequoia Capital Admin,sequoiacap.com,Board Observer
3,Sarah Tavel,benchmark.com,Board Member
4,Naval Ravikant,airtree.vc,Angel Investor
5,Elad Gil,eladgil.com,Advisor
6,Garry Tan,ycombinator.com,Accelerator Partner
7,Stripe Billing,stripe.com,Primary Infrastructure
8,AWS Account Manager,amazon.com,Cloud Provider
9,Parker Conrad,rippling.com,Strategic Partner
10,Claire Hughes Johnson,clairehj.com,Executive Coach
11,Fenwick & West Legal,fenwick.com,Outside Counsel
12,First Round Review,firstround.com,PR/Media Partner
13,SVB Relationship Manager,svb.com,Banking
14,Carta Support,carta.com,Equity Management
15,OpenAI API Team,openai.com,Critical Vendor
16,Brex Support,brex.com,Corporate Credit
17,Mercury Bank,mercury.com,Banking
18,Deel Payroll,deel.com,HR/Compliance
19,Lattice Admin,lattice.com,Internal Ops
20,Slack HQ,slack-corp.com,Critical Tooling
