name,domain,industry,employee_count,est_revenue,hq_country
Acme Cloud,acmecloud.io,Software,450,85000000,USA
Vertex Solutions,vertex-sol.com,IT Services,120,15000000,USA
Bluebird FinTech,bluebird.fi,FinTech,85,12000000,United Kingdom
Stellar Robotics,stellar-robotics.ai,Robotics,310,45000000,Germany
GreenGrid Energy,greengrid.co,Renewables,210,32000000,Canada
Nova Health,novahealth.com,Healthcare IT,550,110000000,USA
Quantify Analytics,quantify.ai,Data Science,65,9000000,Israel
Swift Logistics,swift-logs.com,Logistics,890,240000000,USA
Lumina Media,lumina-media.com,Marketing,140,22000000,Australia
Ironclad Security,ironcladsec.io,Cybersecurity,275,55000000,USA
Nexus Bio,nexusbio.com,Biotech,180,28000000,France
Peak Performance,peak-perf.co,E-commerce,320,68000000,USA
CloudScale Systems,cloudscale.tech,Cloud Infrastructure,410,95000000,USA
Zenthon,zenthon.com,SaaS,95,14000000,Ireland
Velocity Sales,velocitysales.io,AdTech,130,21000000,USA
Orbit Space,orbitspace.io,Aerospace,55,8000000,USA
Titan Manufacturing,titan-mfg.net,Manufacturing,1200,450000000,USA
Echo Communications,echocomms.com,Telecommunications,670,180000000,UK
Aura Wellness,aurawellness.app,Health & Wellness,110,16000000,USA
DeepBlue AI,deepblue.ai,Artificial Intelligence,45,7500000,USA
Silverline Banking,silverline.bank,Finance,2300,800000000,USA
OpenRoad Tech,openroad.io,Automotive,190,34000000,Germany
Pulse HR,pulsehr.com,HR Tech,155,26000000,USA
Streamline Ops,streamlineops.co,Project Management,80,11000000,Canada
Beacon Legal,beaconlegal.io,LegalTech,40,5500000,USA
Verity Insurance,verityinsure.com,Insurance,450,120000000,USA
Skyline Real Estate,skylinere.com,PropTech,210,48000000,USA
Forge Metals,forgemetals.com,Materials,800,310000000,USA
NextGen Learning,nextgen-edu.com,EdTech,125,18000000,USA
PureWater Tech,purewater.io,Environmental,90,13000000,Netherlands
Arcade Gaming,arcadegames.com,Gaming,340,75000000,Japan
Core Networks,corenetworks.net,Networking,520,135000000,USA
SwiftPay,swiftpay.io,Payments,280,62000000,USA
Terraform Labs,terra-labs.io,Web3,75,10000000,Singapore
Insight Retail,insightretail.com,Retail Tech,440,92000000,USA
Polaris Defense,polaris-def.com,Defense,610,210000000,USA
Zenith Labs,zenithlabs.io,Pharma,195,42000000,Switzerland
ClearView Data,clearview.ai,Big Data,115,19000000,USA
Boundless Travel,boundless.travel,TravelTech,260,54000000,UK
Motive Auto,motiveauto.io,Automotive,380,88000000,USA
Vector Design,vectordesign.co,Design,55,7000000,USA
Solid State,solidstate.io,Hardware,150,30000000,South Korea
Growth Lab,growthlab.ai,Marketing,45,6000000,USA
Apex Finance,apex-finance.com,FinTech,130,25000000,USA
Vivid VR,vividvr.io,AR/VR,70,9500000,USA
Shield Cyber,shieldcyber.com,Cybersecurity,220,44000000,Israel
Oasis Apps,oasisapps.co,SaaS,85,12000000,USA
Pioneer Agri,pioneeragri.com,AgTech,140,23000000,USA
Modern HR,modernhr.io,HR Tech,110,17000000,USA
Global Logistics,globallogs.net,Supply Chain,950,280000000,USA
Altus Aviation,altusair.com,Aviation,300,72000000,USA
Bright Energy,brightenergy.io,Renewables,180,35000000,Germany
Sync Software,sync-soft.io,Productivity,60,8500000,USA
Tidal Marine,tidalmarine.co,Maritime,240,51000000,Norway
InfiniCloud,infinicloud.net,Cloud,420,98000000,USA
SecurePass,securepass.io,IAM,135,22000000,USA
Element Materials,element-mat.com,Manufacturing,700,190000000,USA
QuickShip,quickship.io,E-commerce,190,41000000,USA
Frontier Bio,frontierbio.com,Biotech,115,19000000,USA
Visionary Ads,visionaryads.com,AdTech,145,27000000,USA
SecureNet,securenet.io,Cybersecurity,310,65000000,USA
Hyperion Systems,hyperion.io,Enterprise Software,550,125000000,USA
Bloom Florals,bloom-florals.com,Retail,80,11000000,USA
Alpha Capital,alphacap.com,Investment,250,95000000,UK
True North,truenorth.io,Navigation,120,24000000,USA
Catalyst Lab,catalystlab.co,Chemicals,400,115000000,Germany
Urban Mobility,urbanmob.io,Transportation,210,46000000,France
Peak SaaS,peaksaas.io,SaaS,95,15000000,USA
